class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
close-up,0.8636363636363636,0.76,0.8085106382978723,75,9,18,0.831983208656311,
medium,0.7553191489361702,0.797752808988764,0.7759562841530054,89,23,18,0.7654937505722046,
object,0.8524590163934426,0.9285714285714286,0.8888888888888888,56,9,4,0.8878354430198669,0.9285714285714286
space,0.8181818181818182,0.782608695652174,0.8,23,4,5,0.8435728549957275,0.782608695652174
wide,0.6875,0.6875,0.6875,32,10,10,0.7759379148483276,0.6875
