target,ECE,MCE,high_confidence_accuracy,low_confidence_accuracy,high_confidence_count,low_confidence_count,overconfidence_ratio_wrong_conf_ge_0_8,underconfidence_ratio_correct_conf_lt_0_5
shot,0.03450732588768006,0.2815749228000641,0.9333333333333333,0.2,165,5,0.04,0.0036363636363636364
text,0.08618621782823045,0.36096207534565644,0.9210526315789473,,228,0,0.06545454545454546,0.0
joint,0.08499200777574019,0.3316754400730133,0.8646616541353384,0.3,133,30,0.06545454545454546,0.03272727272727273
