bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,18,0.4444444444444444,0.5415699481964111,0.09712550375196671
0.6000000000000001,0.7000000000000001,17,0.29411764705882354,0.65507972240448,0.36096207534565644
0.7000000000000001,0.8,12,0.4166666666666667,0.7478620409965515,0.33119537432988483
0.8,0.9,28,0.6071428571428571,0.8552082180976868,0.24806536095482967
0.9,1.0,200,0.965,0.9894821047782898,0.024482104778289826
