bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,5,0.2,0.4815749228000641,0.2815749228000641
0.5,0.6000000000000001,26,0.5384615384615384,0.5485089421272278,0.010047403665689347
0.6000000000000001,0.7000000000000001,36,0.6666666666666666,0.6525368094444275,0.01412985722223914
0.7000000000000001,0.8,43,0.627906976744186,0.750758171081543,0.12285119433735692
0.8,0.9,55,0.8545454545454545,0.848746657371521,0.005798797173933501
0.9,1.0,110,0.9727272727272728,0.9571800231933594,0.015547249533913399
