,sample_count,per_video_shot_accuracy,per_video_joint_accuracy,per_video_avg_joint_confidence
mean,8.333333333333334,0.7841384106089988,0.665393266863855,0.7545489199233778
std,7.170541588099651,0.2679071411128177,0.3171000589116335,0.10767670142408517
min,1.0,0.0,0.0,0.5362902879714966
max,34.0,1.0,1.0,0.9676280617713928
