classifier,accuracy,macro_f1,balanced_accuracy,weighted_f1,top_2_accuracy,macro_precision,macro_recall
shot,0.8072727272727273,0.8080895792660499,0.8285711901272478,0.8058191541079242,0.9709090909090909,0.7973667214012041,0.8285711901272478
text,0.8945454545454545,0.7982289690069576,0.8283366644459249,0.8991078143867518,,0.7759425158641284,0.8283366644459249
