class,ECE,MCE,predicted_count
close-up,0.08345271696647004,0.5002005994319916,60
medium,0.07345856709041816,0.14750158488750464,87
object,0.12370015231389847,0.3459529519081116,63
space,0.14762322783470153,0.4622167944908142,25
wide,0.13329676091670997,0.2953454797918147,40
