class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class
close-up,0.8833333333333333,0.7066666666666667,0.7851851851851852,75,7,22,0.8178608417510986
medium,0.7931034482758621,0.7752808988764045,0.7840909090909091,89,18,20,0.8245348930358887
object,0.8253968253968254,0.9285714285714286,0.8739495798319328,56,11,4,0.873843252658844
space,0.76,0.8260869565217391,0.7916666666666666,23,6,4,0.8706458806991577
wide,0.725,0.90625,0.8055555555555556,32,11,3,0.8441022634506226
