stat,shot_accuracy,shot_macro_f1,shot_balanced_accuracy,shot_weighted_f1,text_accuracy,text_macro_f1,joint_accuracy
mean,0.8007272727272727,0.8054419181902169,0.8243597285225766,0.7984694047350314,0.8763636363636363,0.7815899269979121,0.7025454545454546
std,0.01843460633547138,0.01605891294532655,0.02298387034397329,0.019285114946621294,0.021203461435801096,0.014079081389540225,0.03003028774118191
