target,ECE,MCE,high_confidence_accuracy,low_confidence_accuracy,high_confidence_count,low_confidence_count,overconfidence_ratio_wrong_conf_ge_0_8,underconfidence_ratio_correct_conf_lt_0_5
shot,0.047515899593179894,0.17181751504540443,0.8864864864864865,0.625,185,8,0.07636363636363637,0.01818181818181818
text,0.06550503188913522,0.289694230807455,0.9399141630901288,,233,0,0.05090909090909091,0.0
joint,0.07167901851914146,0.29482439160346985,0.8639455782312925,0.5238095238095238,147,21,0.07272727272727272,0.04
