class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
space,0.76,0.8260869565217391,0.7916666666666666,23,6,4,0.8706458806991577,0.8260869565217391
wide,0.725,0.90625,0.8055555555555556,32,11,3,0.8441022634506226,0.90625
