seed,shot_accuracy,shot_macro_f1,shot_balanced_accuracy,shot_weighted_f1,text_accuracy,text_macro_f1,joint_accuracy
1,0.7709090909090909,0.7794471510103709,0.7883389396794379,0.7668665849396966,0.8763636363636363,0.7854717327459618,0.6618181818181819
2,0.8218181818181818,0.8237623755795335,0.8510791750994485,0.819761004690519,0.8909090909090909,0.7892397302268548,0.730909090909091
3,0.8036363636363636,0.8077139641967228,0.8217895410240306,0.80163311881431,0.8836363636363637,0.78743961352657,0.7163636363636363
4,0.8036363636363636,0.8076776254361393,0.8267930188196431,0.8021840126162108,0.8909090909090909,0.7892397302268548,0.7236363636363636
5,0.8036363636363636,0.8086084747283184,0.8337979679903228,0.8019023026144203,0.84,0.7565588282633189,0.68
