video_id,sample_count,per_video_shot_accuracy,per_video_joint_accuracy,per_video_avg_joint_confidence
139,6.0,0.16666666666666666,0.0,0.5362902879714966
164,2.0,1.0,0.0,0.7778854370117188
148,1.0,0.0,0.0,0.8880714178085327
19,4.0,0.5,0.25,0.635370135307312
189,4.0,0.25,0.25,0.710089921951294
97,6.0,0.3333333333333333,0.3333333333333333,0.7275123596191406
122,3.0,0.6666666666666666,0.3333333333333333,0.6215863823890686
25,12.0,0.8333333333333334,0.4166666666666667,0.6576234102249146
194,4.0,0.75,0.5,0.8006154298782349
185,5.0,1.0,0.6,0.6718115210533142
