target,zero_shot_accuracy,fine_tuned_accuracy,improvement_pp,bootstrap_improvement_mean,ci95_lower,ci95_upper
shot,0.39636363636363636,0.8072727272727273,41.090909090909086,0.41078545454545456,0.33818181818181825,0.48
text,0.8472727272727273,0.8945454545454545,4.727272727272725,0.047854545454545455,0.0036363636363636598,0.09454545454545449
