frame_idx,time_sec,clip_distance
8,0.26666666666666666,0.1953668
16,0.5333333333333333,0.15323937
24,0.8,0.056312144
32,1.0666666666666667,0.11136919
40,1.3333333333333333,0.030134737
48,1.6,0.013530135
56,1.8666666666666667,0.068383574
64,2.1333333333333333,0.021108747
72,2.4,0.08706844
80,2.6666666666666665,0.017679334
88,2.933333333333333,0.036725104
96,3.2,0.052549124
104,3.466666666666667,0.10834628
112,3.7333333333333334,0.026278794
120,4.0,0.021539211
128,4.266666666666667,0.021542788
136,4.533333333333333,0.012587905
144,4.8,0.020912766
152,5.066666666666666,0.15822518
160,5.333333333333333,0.045196593
168,5.6,0.047910213
176,5.866666666666666,0.03480327
184,6.133333333333334,0.044717252
192,6.4,0.030736685
200,6.666666666666667,0.026943445
208,6.933333333333334,0.06283015
216,7.2,0.19157934
224,7.466666666666667,0.07313627
232,7.733333333333333,0.049102783
240,8.0,0.01684624
248,8.266666666666667,0.015333772
256,8.533333333333333,0.028648973
264,8.8,0.04982972
272,9.066666666666666,0.023099542
280,9.333333333333334,0.036670327
288,9.6,0.029047966
296,9.866666666666667,0.07295418
304,10.133333333333333,0.07542461
312,10.4,0.19912326
320,10.666666666666666,0.109787166
328,10.933333333333334,0.08790946
336,11.2,0.105764866
344,11.466666666666667,0.12935084
352,11.733333333333333,0.05513996
360,12.0,0.055146992
368,12.266666666666667,0.056495428
376,12.533333333333333,0.115011096
384,12.8,0.12941855
392,13.066666666666666,0.09390098
400,13.333333333333334,0.14347523
408,13.6,0.15440631
416,13.866666666666667,0.18575633
424,14.133333333333333,0.16929108
432,14.4,0.15141845
440,14.666666666666666,0.17924035
448,14.933333333333334,0.19421053
456,15.2,0.02297306
464,15.466666666666667,0.022971153
472,15.733333333333333,0.01887238
480,16.0,0.022706985
488,16.266666666666666,0.04873991
496,16.533333333333335,0.011726618
504,16.8,0.010299861
512,17.066666666666666,0.009717524
520,17.333333333333332,0.026498437
528,17.6,0.024922013
536,17.866666666666667,0.3103915
544,18.133333333333333,0.2654621
552,18.4,0.15529853
560,18.666666666666668,0.07564926
568,18.933333333333334,0.07186359
576,19.2,0.0891211
584,19.466666666666665,0.21281695
592,19.733333333333334,0.050039113
600,20.0,0.031997263
608,20.266666666666666,0.109517634
616,20.533333333333335,0.1039083
624,20.8,0.048608422
632,21.066666666666666,0.3336178
640,21.333333333333332,0.04791951
648,21.6,0.014503956
656,21.866666666666667,0.096482396
664,22.133333333333333,0.11811268
672,22.4,0.075122476
680,22.666666666666668,0.18397713
688,22.933333333333334,0.0007891059
696,23.2,0.0008237362
704,23.466666666666665,0.0009903908
712,23.733333333333334,6.735325e-05
720,24.0,0.43087506
728,24.266666666666666,0.009693027
736,24.533333333333335,0.019985318
744,24.8,0.006174445
752,25.066666666666666,0.015665114
760,25.333333333333332,0.08917493
768,25.6,0.018339336
776,25.866666666666667,0.12823486
784,26.133333333333333,0.16142529
792,26.4,0.02274704
800,26.666666666666668,0.026206851
808,26.933333333333334,0.04599768
816,27.2,0.006026149
824,27.466666666666665,0.010037065
832,27.733333333333334,0.028184414
840,28.0,0.0056533217
848,28.266666666666666,0.12827277
856,28.533333333333335,0.0017668009
864,28.8,0.0068276525
872,29.066666666666666,0.006902516
880,29.333333333333332,0.022021055
888,29.6,0.028832078
896,29.866666666666667,0.019529283
904,30.133333333333333,0.0076756477
912,30.4,0.01162982
920,30.666666666666668,0.06582165
928,30.933333333333334,0.018015146
936,31.2,0.24231422
944,31.466666666666665,0.0038232207
952,31.733333333333334,0.009888113
960,32.0,0.0066651106
968,32.266666666666666,0.015001655
976,32.53333333333333,0.0106652975
984,32.8,0.007528007
992,33.06666666666667,0.01674825
1000,33.333333333333336,0.023956299
1008,33.6,0.034616232
1016,33.86666666666667,0.026536107
1024,34.13333333333333,0.034442067
1032,34.4,0.34130526
1040,34.666666666666664,0.13020837
1048,34.93333333333333,0.11707127
1056,35.2,0.08739841
1064,35.46666666666667,0.17793632
1072,35.733333333333334,0.03763032
1080,36.0,0.04539621
1088,36.266666666666666,0.113850355
1096,36.53333333333333,0.07867223
1104,36.8,0.06348181
1112,37.06666666666667,0.1289671
1120,37.333333333333336,0.17247951
1128,37.6,0.0921641
1136,37.86666666666667,0.10758126
1144,38.13333333333333,0.02263391
1152,38.4,0.018254995
1160,38.666666666666664,0.030809581
1168,38.93333333333333,0.0203982
1176,39.2,0.21653992
1184,39.46666666666667,0.04313147
1192,39.733333333333334,0.034290493
1200,40.0,0.018109798
1208,40.266666666666666,0.008184791
1216,40.53333333333333,0.021047235
1224,40.8,0.013124764
1232,41.06666666666667,0.018809974
1240,41.333333333333336,0.028727531
1248,41.6,0.041425228
1256,41.86666666666667,0.0362159
1264,42.13333333333333,0.011299074
1272,42.4,0.022314072
1280,42.666666666666664,0.016116977
1288,42.93333333333333,0.01398468
1296,43.2,0.027363181
1304,43.46666666666667,0.08431566
1312,43.733333333333334,0.015945852
1320,44.0,0.0034083128
1328,44.266666666666666,0.04716611
1336,44.53333333333333,0.013253331
1344,44.8,0.01174444
1352,45.06666666666667,0.11683965
1360,45.333333333333336,0.011780202
1368,45.6,0.009723425
1376,45.86666666666667,0.05918598
1384,46.13333333333333,0.010075688
1392,46.4,0.0052319765
1400,46.666666666666664,0.0021284223
1408,46.93333333333333,0.021031797
1416,47.2,0.0027375817
1424,47.46666666666667,0.04885173
1432,47.733333333333334,0.0056465864
1440,48.0,0.0035785437
1448,48.266666666666666,0.001763463
1456,48.53333333333333,0.0999732
1464,48.8,0.003806293
1472,49.06666666666667,0.07894611
1480,49.333333333333336,0.0029761195
1488,49.6,0.006214738
1496,49.86666666666667,0.005280733
1504,50.13333333333333,0.11413884
1512,50.4,0.012419343
1520,50.666666666666664,0.09450942
1528,50.93333333333333,0.010131419
1536,51.2,0.0018615127
1544,51.46666666666667,0.0012329817
1552,51.733333333333334,0.00095432997
1560,52.0,0.19296312
1568,52.266666666666666,0.084748745
1576,52.53333333333333,0.011010051
1584,52.8,0.0019196868
1592,53.06666666666667,0.12575006
1600,53.333333333333336,0.0097414255
1608,53.6,0.046261728
1616,53.86666666666667,0.031625092
1624,54.13333333333333,0.13667178
1632,54.4,0.1419751
1640,54.666666666666664,0.066483736
1648,54.93333333333333,0.04549861
1656,55.2,0.09530425
1664,55.46666666666667,0.12132561
1672,55.733333333333334,0.017348647
1680,56.0,0.007430136
1688,56.266666666666666,0.019467056
1696,56.53333333333333,0.018972337
1704,56.8,0.01958394
1712,57.06666666666667,0.012506545
1720,57.333333333333336,0.042731225
1728,57.6,0.34297264
1736,57.86666666666667,0.029830217
1744,58.13333333333333,0.005068898
1752,58.4,0.007749021
1760,58.666666666666664,0.297646
1768,58.93333333333333,0.012401819
1776,59.2,0.029727817
1784,59.46666666666667,0.050774395
1792,59.733333333333334,0.07483649
1800,60.0,0.06821418
1808,60.266666666666666,0.014085054
1816,60.53333333333333,0.017582536
1824,60.8,0.04581529
1832,61.06666666666667,0.20382226
1840,61.333333333333336,0.13648176
1848,61.6,0.019882381
1856,61.86666666666667,0.01233542
1864,62.13333333333333,0.0025718212
1872,62.4,0.042087555
1880,62.666666666666664,0.019666553
1888,62.93333333333333,0.005218327
1896,63.2,0.0049366355
1904,63.46666666666667,0.05153662
1912,63.733333333333334,0.011072814
1920,64.0,0.0075340867
1928,64.26666666666667,0.010249078
1936,64.53333333333333,0.11630523
1944,64.8,0.060771465
1952,65.06666666666666,0.02530849
1960,65.33333333333333,0.051421225
1968,65.6,0.06298858
1976,65.86666666666666,0.045458555
1984,66.13333333333334,0.008324146
1992,66.4,0.13040465
2000,66.66666666666667,0.040959477
2008,66.93333333333334,0.040213168
2016,67.2,0.058131337
2024,67.46666666666667,0.04394579
2032,67.73333333333333,0.030450463
2040,68.0,0.0065461397
2048,68.26666666666667,0.0062187314
2056,68.53333333333333,0.07099682
2064,68.8,0.08836913
2072,69.06666666666666,0.051035523
2080,69.33333333333333,0.015688717
2088,69.6,0.010930896
2096,69.86666666666666,0.07788628
