frame_idx,time_sec,clip_distance
8,0.26666666666666666,0.07882416
16,0.5333333333333333,0.0806694
24,0.8,0.024762094
32,1.0666666666666667,0.010447919
40,1.3333333333333333,0.017079413
48,1.6,0.008804798
56,1.8666666666666667,0.012054801
64,2.1333333333333333,0.020732164
72,2.4,0.027196884
80,2.6666666666666665,0.032428145
88,2.933333333333333,0.047420263
96,3.2,0.001745224
104,3.466666666666667,0.0016131401
112,3.7333333333333334,0.0009638071
120,4.0,0.034539342
128,4.266666666666667,0.023769617
136,4.533333333333333,0.0005235076
144,4.8,0.0013375282
152,5.066666666666666,0.030601084
160,5.333333333333333,0.006607175
168,5.6,0.004655838
176,5.866666666666666,0.0021796227
184,6.133333333333334,0.000872314
192,6.4,0.0026435256
200,6.666666666666667,0.0010988116
208,6.933333333333334,0.0015688539
216,7.2,0.001444459
224,7.466666666666667,0.0016506314
232,7.733333333333333,0.003196597
240,8.0,0.001934886
248,8.266666666666667,0.0038124323
256,8.533333333333333,0.0009788871
264,8.8,0.0012344122
272,9.066666666666666,0.002313614
280,9.333333333333334,0.0016752481
288,9.6,0.0020315647
296,9.866666666666667,0.0044006705
304,10.133333333333333,0.057714462
312,10.4,0.0109933615
320,10.666666666666666,0.0011613369
328,10.933333333333334,0.0012518167
336,11.2,0.00079250336
344,11.466666666666667,0.0027632117
352,11.733333333333333,0.0053931475
360,12.0,0.045677662
368,12.266666666666667,0.025722623
376,12.533333333333333,0.0046647787
384,12.8,0.0021902919
392,13.066666666666666,0.0024966002
400,13.333333333333334,0.0022622347
408,13.6,0.009043992
416,13.866666666666667,0.0026860833
424,14.133333333333333,0.0017988682
432,14.4,0.0016334653
440,14.666666666666666,0.0056930184
448,14.933333333333334,0.0011364222
456,15.2,0.01299715
464,15.466666666666667,0.0016963482
472,15.733333333333333,0.0024045706
480,16.0,0.0017914772
488,16.266666666666666,0.0019357204
496,16.533333333333335,0.002434194
504,16.8,0.0043049455
512,17.066666666666666,0.0019942522
520,17.333333333333332,0.007670164
528,17.6,0.032806635
536,17.866666666666667,0.040179133
544,18.133333333333333,0.014366031
552,18.4,0.014639914
560,18.666666666666668,0.013312399
568,18.933333333333334,0.014452696
576,19.2,0.012666643
584,19.466666666666665,0.0095021725
592,19.733333333333334,0.020486474
600,20.0,0.0996964
608,20.266666666666666,0.01590085
616,20.533333333333335,0.016009688
624,20.8,0.02311951
632,21.066666666666666,0.008241057
640,21.333333333333332,0.005897641
648,21.6,0.004633665
656,21.866666666666667,0.003959894
664,22.133333333333333,0.0070709586
672,22.4,0.0031573772
680,22.666666666666668,0.0023941994
688,22.933333333333334,0.003156066
696,23.2,0.0053414106
698,23.266666666666666,0.0016454458
